pad,value,1973,1974,1975,1976,1977,1978,1980,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1993,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,ROW TOTAL
Column percent,22,0.5,0.4,0.4,0.5,0.2,0,0.1,0.2,0.1,0.6,0.5,0.1,0.6,0.2,0.2,0.8,0.3,0.4,0.5,0.1,0.3,0.2,0.2,0.3,0.2,0.6,0.6,0.3,0.1,0.4,0.7,0.3
Column percent,23,0.7,0.1,1,0,0,0.4,0.1,0.2,0,0.4,0.5,0.1,0.1,0.1,0.6,0,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0,0.1,0.1,0.4,0.1,0.2
Column percent,24,1.4,1.1,1.5,0.9,1.2,1,1,0.9,2,1.1,0.8,0.9,1.8,1.3,1,1.2,0.9,1.5,1.9,0.8,1.1,0.4,1.2,1.8,1.2,1.6,1.2,1.4,1.3,0.6,0.9,1.2
Column percent,25,1.4,1.5,1.5,2.1,1,0.8,2.4,1.8,1.2,1.8,2.7,1.6,1.7,1.5,2.4,1,1,2.3,1.7,1.6,1.6,1.6,1.6,1.9,1.4,2.4,2,1.2,1.6,2.2,1.5,1.7
Column percent,26,0.3,0.1,0.8,0,0,0.1,0,0.3,0.3,0,0.1,0,0.2,0.1,0,0.5,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.3,0.4,0.2,0.2,0.8,0.1,0.2
Column percent,27,0.6,0,0.1,0.4,0.1,0.2,0.4,0.2,0,0.5,0.3,0.3,0,0.3,0.2,0.1,0,0,0.1,0.3,0.1,0.4,0.4,0.1,0.7,0.3,0.7,0.7,0.3,0.5,0.3,0.3
Column percent,28,1.3,0.7,0.6,0.8,0.4,0.5,0.4,0.1,0.2,1.1,0.3,0.8,0.9,0.6,1,0.8,0.6,0.4,0.4,0.4,0.7,0.7,0.8,0.6,0.4,0.1,0.9,0.2,0.9,0.9,0.7,0.6
Column percent,29,0.3,0.1,0.1,0,0.2,0,0,0,0.1,0.1,0.2,0.4,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0,0.2,0.1,0.3,0.1,0.1,0.1,0.2,0.1
Column percent,30,2.4,3.6,3.6,3,3,3.4,2.2,3.8,5.2,2.3,1.7,3.4,2.8,3,3.3,3.3,3.7,2.6,3.3,3.3,3.6,3.1,4,3.2,3.5,3.8,4.4,4.6,4,4,4.7,3.5
Column percent,31,0.5,0,0,0,0.2,0.2,0.4,0.1,0.3,0.2,0.7,0.2,0,0.1,0.2,0.1,0.3,0,0.3,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0,0.2,0.1,0.1,0,0.2
